[Result Details]
2D Batch Result Name,HR23E - Final Drive Ratio (3)
Date Created,4/27/2023 4:34:10 PM
Track,Acceleration Test (1)
Vehicle,HR23E

[KPI Values]
Lap time [s],5.81550716211129,5.05522815019977,4.56874181256162,4.43008917107405,4.38164039159004,4.3709173137017,4.37091807009273,4.37091802069286,4.3709180590828,4.3709183145461,4.37091905121119,4.37914262099227,4.4095602276857,4.45596114968736,4.51493561750843,4.58463722061854,4.66356686073726,4.75048718241739,4.84436545423947,4.94433703682784,5.04967293622401,
Percent in Corners [%],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Percent Accelerating [%],100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Percent Braking [%],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Percent Coasting [%],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Percent 100% Throttle [%],100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Percent TCS Enabled [%],0,0,29.9324123517547,57.2599217197029,74.4286741751854,85.6114089752244,85.6113941600984,85.6113951276734,85.6113943757453,85.6113893720899,85.6113749433344,85.4506057752956,84.8611585778474,100,100,100,100,100,100,100,100,
Lowest Speed [km/h],4.25162205785819,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,
Highest Speed [km/h],82.373774219052,95.751850852478,107.301063670912,116.016902880606,122.120120683128,123.721814832194,123.721709674837,123.721684811401,123.721661626683,123.721541737496,123.721210472009,116.907116514549,109.087671221361,102.248670250649,96.2165920250305,90.8565809624489,86.062245807856,81.748526009763,77.8466010593752,74.3001913023761,71.0628258242011,
Average Speed [km/h],57.7841138083219,67.1872598510488,75.0787005568505,79.3687565319821,81.3749870525343,81.8862152457264,81.886177511206,81.8861791940368,81.886177016715,81.8861638093768,81.8861248453425,81.4444622855853,80.007563053697,78.0876620154435,75.9350355877475,73.6741997104326,71.3842110395304,69.1152150473129,66.8985697220027,64.7531710469234,62.6896903066032,
Energy Spent [kJ],73.3014812802783,99.1291947009718,124.410950873957,144.453758722131,158.659410521606,162.532692147982,162.565985322604,162.599485959647,162.632986500674,162.66627305047,162.699089508351,163.396295043545,165.902837630003,165.245996221481,162.13242234146,159.048647676356,156.095038958584,153.320540863421,150.744709843175,148.370325856181,146.190945936363,
Fuel Consumption [kg],0.1071659083045,0.144925723247035,0.181887355078885,0.211189705734109,0.231958202516967,0.23762089495319,0.237669569185094,0.23771854672463,0.237767524123792,0.237816188670277,0.237864165947882,0.238883472285884,0.242548008230999,0.241587713774095,0.237035705177573,0.232527262684731,0.22820912128448,0.224152837519621,0.2203870026947,0.216915681076288,0.213729453123337,
Gear Shifts [-],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maximum Lateral Acceleration [m/s^2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maximum Longitudinal Acceleration [m/s^2],4.50177238901369,6.02737303195721,7.55297367490074,9.07857431784427,10.6041749607878,12.1297756037313,13.6553762466748,15.1809768896184,16.7065775325619,18.2321781755054,19.757778818449,21.2833794613925,22.808980104336,24.3345807472795,25.8601813902231,27.3857820331666,28.9113826761101,30.4369833190536,31.9625839619972,33.4881846049407,35.0137852478842,
Maximum Longitudinal Deceleration [m/s^2],2.65333494400966,3.57979767036408,4.51652758822268,5.56133136836065,6.54832525755758,6.30198292369554,6.30186747376825,6.3015496707718,6.30195067917458,6.30192207078909,6.3017931250235,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,6.96751488575903,
Time in Sector 1 [s],5.81550716211129,5.05522815019977,4.56874181256162,4.43008917107405,4.38164039159004,4.3709173137017,4.37091807009273,4.37091802069286,4.3709180590828,4.3709183145461,4.37091905121119,4.37914262099227,4.4095602276857,4.45596114968736,4.51493561750843,4.58463722061854,4.66356686073726,4.75048718241739,4.84436545423947,4.94433703682784,5.04967293622401,
Maximum Speed in Sector 1 [km/h],82.373774219052,95.751850852478,107.301063670912,116.016902880606,122.120120683128,123.721814832194,123.721709674837,123.721684811401,123.721661626683,123.721541737496,123.721210472009,116.907116514549,109.087671221361,102.248670250649,96.2165920250305,90.8565809624489,86.062245807856,81.748526009763,77.8466010593752,74.3001913023761,71.0628258242011,
Minimum Speed in Sector 1 [km/h],4.25162205785819,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,
Percent in Gear 1 [%],100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vehicle Mass [kg],217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,217.724,
Drag Coefficient [-],0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,
